id,smiles
X335,Oc1nccc(C(F)(F)F)n1
X336,O=[N+]([O-])c1cc(F)cc(Br)c1O
X337,COc1ccc(S(=O)(=O)N(C)c2ccc(O)cc2)cc1
X338,COC(=O)c1c(O)cc(=O)n2c1CCCCC2
X339,Cc1cc(C)c(C)c(O)c1
X340,COc1cccc(-c2nn(Cc3ccccc3)cc2CO)c1
X341,OCc1nc2ccccc2s1
X342,Oc1ccc(-c2nc3ccccc3s2)cc1
X343,Cl.Nc1ccc(O)c2ccccc12
X344,O=C1CCCN1c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
X345,CC(=O)c1sc(-c2ccc(O)cc2)nc1C
X346,O=C(NCc1ccccc1)c1cc2ccccc2cc1O
X347,O=C(c1cc2ccccc2cc1O)N1CCOCC1
X348,CC(O)c1cccc(Cl)c1
X349,COc1ccc(O)c(C(=O)c2cc(C#N)c(=O)n(-c3nccs3)c2)c1
X350,Cc1cc(C)c2nc(O)cc(C)c2c1
X351,CC(C)c1ccc(-n2c(O)nc3ccccc3c2=O)cc1
X352,OCCc1ccc(F)cc1
X353,Oc1ccc(-n2cnnn2)cc1
X354,OCCNc1ccccn1
X355,Cl.O=[N+]([O-])c1ccc(-c2nc(O)c3cnccn23)cc1
X356,NC(=NO)c1cccc(O)c1
X357,Cc1cc(C)n(CCO)n1
X358,COC(=O)C(CO)Cc1ccccc1
X359,Oc1nnc(-c2ccccc2)o1
X360,O=C(NC1CC1)c1cccc(O)c1
X361,Cl.O=C(c1ccc(O)cc1)N1CCNCC1
X362,COC(=O)Nc1ccc(O)cc1
X363,COc1cc(CN)ccc1OCCO
X364,NC1CCC(CO)CC1
X365,CN(C)C(=O)c1cccc(O)c1
X366,Cc1ccc(C(=O)N(C)C)cc1O
X367,CN(C)C(=O)c1ccc(O)cc1
X368,COc1ccccc1CNCCO
X369,CCC(CC)NCCO
X370,OC1CCC2(CC1)OCCO2
X371,COc1ccc(NCCO)cn1
X372,Oc1ccc(Cl)nc1
X373,CC1CC(=O)c2c(O)ccc(Cl)c21
X374,CC(C)CC(N)C(O)C(F)(F)F
X375,Cn1nnc2cc(CO)ccc21
X376,OCc1nc2ccccc2n1C(F)F
X377,Nc1ccc(N2CCC(O)CC2)cc1
X378,CN(C)S(=O)(=O)c1ccc2[nH]c(CO)nc2c1
X379,O=c1cc(CO)nc2sccn12
X380,O=[N+]([O-])c1cc(CCl)ccc1O
X381,Cc1ccc(C(=O)NN)c(O)c1
X382,CCOC(=O)c1nn(-c2ccccc2)cc1O
X383,OCC12CC3CC(CC(C3)C1)C2
X384,CC1(c2ccc(O)cc2)NC(=O)NC1=O
X385,COc1ccc(C(C)O)cc1F
X386,Cc1ccc(S(=O)(=O)N(C)c2ccc(O)cc2)cc1
X387,Br.Cc1csc(-c2ccc(O)cc2)n1
X388,CC(O)c1cccc(-n2cnnn2)c1
X389,Oc1ncnc2cccc(F)c12
X390,CC(O)c1c(F)cccc1F
X391,OCCc1cc2cc(Br)ccc2o1
X392,CC(C)N1CC2CCCC(C1)C2O
X393,OCc1nc2ccccc2n1Cc1ccccc1
X394,CC(C)(C)OC(=O)Nc1ccc(CO)cn1
X395,COC(=O)c1cc(S(N)(=O)=O)ccc1O
X396,COc1ccc(CN)cc1O.Cl
X397,Cl.NC(Cc1ccccc1)C(O)C(F)(F)F
X398,CC(O)CNCc1ccccc1
X399,CCn1ccnc1CO
X400,CC(C)(O)c1nc2ccccc2[nH]1
X401,Cc1ccc2[nH]c(CO)nc2c1
X402,CCNCc1ccc(O)c(OCC)c1.Cl
X403,Oc1ccc2c(c1)CNCC2
X404,CCOC(=O)c1c(CCCO)cnc2cc(C)nn12
X405,Oc1ccnc2ccc(I)cc12
X406,ON=C1CN(Cc2ccccc2)Cc2cnc(O)nc21
X407,CNC1c2cc(Cl)cc(Cl)c2CC1O.Cl
X408,Cc1c(-c2ccccc2)c(=O)oc2cc(O)ccc12
X409,CCCCCCCNCCCO
X410,NC(=S)c1cccc(O)c1
X411,Cc1nc(-c2cccc(O)c2)no1
X412,O=C1CCC(=O)N1c1ccccc1O
X413,Cc1ccc2[nH]c(C(C)O)nc2c1
X414,OCc1nc2ccccc2n1Cc1ccc(Cl)cc1
X415,Oc1ccc(OCc2ccncc2)cc1
X416,Cn1c(CO)nc2ccccc21
X417,CCn1c(CO)nc2ccccc21
X418,CCCn1c(CO)nc2ccccc21
X419,OCc1cnn(-c2ccccc2)n1
X420,O=C1OCCN1c1ccc(O)cc1
X421,OCCOC1CCCCC1
X422,N#Cc1cc([N+](=O)[O-])ccc1O
X423,OCCCOC1CCCC1
X424,CC(C)C(O)c1nccn1C
X425,OCCCOC1CCCCC1
X426,NCC(O)C1CCCCC1
X427,CC(CN)CO
X428,Cl.NCc1cccc(O)c1
X429,CC(C)Oc1ccc(CO)cc1
X430,Cl.Nc1ccccc1Cc1ccc(O)cc1
X431,OCCc1cnccn1
X432,Cl.NCC(O)C(F)(F)F
